BuildingPartName_Acacia_01,'Acacia Tree 1'
BuildingPartName_Acacia_02,'Acacia Tree 2'
BuildingPartName_Acacia_03,'Acacia Tree 3'
BuildingPartName_Alpine_Fir_01,'Alpine Fir Tree'
BuildingPartName_AL_Rock_01,'Alpine Rock - Large 1'
BuildingPartName_AL_Rock_02a,'Alpine Rock - Large 2'
BuildingPartName_AL_Rock_02b,'Alpine Rock - Large 4'
BuildingPartName_AL_Rock_03a,'Alpine Rock - Large 3'
BuildingPartName_AL_Rock_03b,'Alpine Rock - Large 5'
BuildingPartName_AL_Rock_03c,'Alpine Rock - Small 1'
BuildingPartName_AL_Rock_04a,'Alpine Rock - Small 2'
BuildingPartName_AL_Rock_04b,'Alpine Rock - Small 3'
BuildingPartName_AL_Rock_05,'Alpine Rock - Small 4'
BuildingPartName_AL_Rock_06,'Alpine Rock - Small 5'
BuildingPartName_AR_Arctic_01,'Ice Rock - Large 1'
BuildingPartName_AR_Arctic_02a,'Ice Rock - Large 2'
BuildingPartName_AR_Arctic_02b,'Ice Rock - Large 4'
BuildingPartName_AR_Arctic_03a,'Ice Rock - Large 3'
BuildingPartName_AR_Arctic_03b,'Ice Rock - Large 5'
BuildingPartName_AR_Arctic_03c,'Ice Rock - Small 1'
BuildingPartName_AR_Arctic_04a,'Ice Rock - Small 2'
BuildingPartName_AR_Arctic_04b,'Ice Rock - Small 3'
BuildingPartName_AR_Arctic_05,'Ice Rock - Small 4'
BuildingPartName_AR_Arctic_06,'Ice Rock - Small 5'
BuildingPartName_Ash_01,'Ash Tree 1'
BuildingPartName_Ash_02,'Ash Tree 2'
BuildingPartName_AT_Atm_Standard,'ATM'
BuildingPartName_BeachBush_01,'Beach Bush'
BuildingPartName_Beach_Tree_01,'Beach Tree 1'
BuildingPartName_Beach_Tree_02,'Beach Tree 2'
BuildingPartName_Beach_Tree_03,'Beach Tree 3'
BuildingPartName_BirchBush_01,'Green Bush - Large 1'
BuildingPartName_BirchBush_02,'Green Bush - Large 2'
BuildingPartName_BirchBush_03,'Green Bush - Large 3'
BuildingPartName_BirchTree_01,'Birch Tree 1'
BuildingPartName_BirchTree_02,'Birch Tree 2'
BuildingPartName_BirchTree_03,'Birch Tree 3'
BuildingPartName_BK_BrickCourse_C_01,'Classic Brick Decorative Course 1'
BuildingPartName_BK_CoasterWall_A,'Modern Brick Coaster Wall 2m'
BuildingPartName_BK_CoasterWall_B,'Rough Brick Coaster Wall 2m'
BuildingPartName_BK_Merge_Arch_A,'Modern Brick Square Arch'
BuildingPartName_BK_Merge_Arch_A_4m,'Modern Brick Square Arch'
BuildingPartName_BK_Merge_Arch_A_Half_4m,'Modern Brick Square Half Arch'
BuildingPartName_BK_Merge_Arch_B_4m,'Rough Brick Thin Rounded Arch'
BuildingPartName_BK_Merge_Arch_C,'Classic Brick Square Arch'
BuildingPartName_BK_Merge_ArchHalf_A,'Modern Brick Square Half Arch'
BuildingPartName_BK_Merge_Arch_Half_B_4m,'Rough Brick Thin Rounded Half Arch'
BuildingPartName_BK_Merge_ArchHalf_C,'Classic Brick Square Half Arch'
BuildingPartName_BK_Merge_ShopFront_A,'Modern Brick Wall 4m Shopfront'
BuildingPartName_BK_Merge_ShopFront_B,'Rough Brick Wall 4m Shopfront'
BuildingPartName_BK_Merge_ShopFront_C,'Classic Brick Wall 4m Shopfront'
BuildingPartName_BK_Merge_Station_Surround_01_A,'Modern Brick Wall 4m Station Surround 1'
BuildingPartName_BK_Merge_Station_Surround_01_C,'Classic Brick Wall 4m Station Surround 1'
BuildingPartName_BK_Merge_Station_Surround_02_A,'Modern Brick Wall 4m Station Surround 2'
BuildingPartName_BK_Merge_Station_Surround_02_C,'Classic Brick Wall 4m Station Surround 2'
BuildingPartName_BK_Merge_Station_Surround_B_01,'Rough Brick Wall 4m Station Surround 1'
BuildingPartName_BK_Merge_Station_Surround_B_02,'Rough Brick Wall 4m Station Surround 2'
BuildingPartName_BK_Merge_Wall_A_1m,'Modern Brick Wall 1m'
BuildingPartName_BK_Merge_Wall_A_2m,'Modern Brick Wall 2m'
BuildingPartName_BK_Merge_Wall_A_4m,'Modern Brick Wall 4m'
BuildingPartName_BK_Merge_Wall_B_1m,'Rough Brick Wall 1m'
BuildingPartName_BK_Merge_Wall_B_2m,'Rough Brick Wall 2m'
BuildingPartName_BK_Merge_Wall_B_4m,'Rough Brick Wall 4m'
BuildingPartName_BK_Merge_Wall_C_1m,'Classic Brick Wall 1m'
