key,translation
BuildingPartDesc_Acacia_01,A grasslands tree with a very broad canopy.
Grasslands
BuildingPartDesc_Acacia_02,A grasslands tree with a very broad canopy.
Grasslands
BuildingPartDesc_Acacia_03,A grasslands tree with a very broad canopy.
Grasslands
BuildingPartDesc_Alpine_Fir_01,A hardy mountain tree.
Alpine
BuildingPartDesc_AL_Rock_01,An ornamental rock.
Alpine
BuildingPartDesc_AL_Rock_02a,An ornamental rock.
Alpine
BuildingPartDesc_AL_Rock_02b,An ornamental rock.
Alpine
BuildingPartDesc_AL_Rock_03a,An ornamental rock.
Alpine
BuildingPartDesc_AL_Rock_03b,An ornamental rock.
Alpine
BuildingPartDesc_AL_Rock_03c,An ornamental rock.
Alpine
BuildingPartDesc_AL_Rock_04a,An ornamental rock.
Alpine
BuildingPartDesc_AL_Rock_04b,An ornamental rock.
Alpine
BuildingPartDesc_AL_Rock_05,An ornamental rock.
Alpine
BuildingPartDesc_AL_Rock_06,An ornamental rock.
Alpine
BuildingPartDesc_AR_Arctic_01,An ornamental icey rock.
Alpine
BuildingPartDesc_AR_Arctic_02a,An ornamental icey rock.
Alpine
BuildingPartDesc_AR_Arctic_02b,An ornamental icey rock.
Alpine
BuildingPartDesc_AR_Arctic_03a,An ornamental icey rock.
Alpine
BuildingPartDesc_AR_Arctic_03b,An ornamental icey rock.
Alpine
BuildingPartDesc_AR_Arctic_03c,An ornamental icey rock.
Alpine
BuildingPartDesc_AR_Arctic_04a,An ornamental icey rock.
Alpine
BuildingPartDesc_AR_Arctic_04b,An ornamental icey rock.
Alpine
BuildingPartDesc_AR_Arctic_05,An ornamental icey rock.
Alpine
BuildingPartDesc_AR_Arctic_06,An ornamental icey rock.
Alpine
BuildingPartDesc_Ash_01,A common forest tree.
Deciduous
BuildingPartDesc_Ash_02,A common forest tree.
Deciduous
BuildingPartDesc_AT_Atm_Standard,A place for Guests to get more cash.
Facility
BuildingPartDesc_BeachBush_01,A hardy shrub.
Tropical
BuildingPartDesc_Beach_Tree_01,A common beach tree.
Tropical
BuildingPartDesc_Beach_Tree_02,A common beach tree.
Tropical
BuildingPartDesc_Beach_Tree_03,A common beach tree.
Tropical
BuildingPartDesc_BirchBush_01,A common green bush.
Park
BuildingPartDesc_BirchBush_02,A common green bush.
Park
BuildingPartDesc_BirchBush_03,A common green bush.
Park
BuildingPartDesc_BirchTree_01,A tree renowned for its pale bark.
Park
BuildingPartDesc_BirchTree_02,A tree renowned for its pale bark.
Park
BuildingPartDesc_BirchTree_03,A tree renowned for its pale bark.
Park
BuildingPartDesc_BK_BrickCourse_C_01,Things can never be too sturdy.
Western Theme
BuildingPartDesc_BK_CoasterWall_A,Modern Brick
2m High
Modern Set
BuildingPartDesc_BK_CoasterWall_B,Rough Brick
4m High
Rustic Set
BuildingPartDesc_BK_Merge_Arch_A,Modern Brick
4m High
Modern Set
BuildingPartDesc_BK_Merge_Arch_A_4m,Modern Brick
4m High
Modern Set
BuildingPartDesc_BK_Merge_Arch_A_Half_4m,Modern Brick
4m High
Modern Set
BuildingPartDesc_BK_Merge_Arch_B_4m,Rough Brick
4m High
Castle Set
BuildingPartDesc_BK_Merge_Arch_C,Classic Brick
4m High
Western Set
BuildingPartDesc_BK_Merge_ArchHalf_A,Modern Brick
4m High
Modern Set
BuildingPartDesc_BK_Merge_Arch_Half_B_4m,Rough Brick
4m High
Castle Set
BuildingPartDesc_BK_Merge_ArchHalf_C,Classic Brick
4m High
Western Set
BuildingPartDesc_BK_Merge_ShopFront_A,Modern Brick
4m High
Modern Set
BuildingPartDesc_BK_Merge_ShopFront_B,Rough Brick
4m High
Modern Set
BuildingPartDesc_BK_Merge_ShopFront_C,Modern Brick
4.0m High
Western Set
BuildingPartDesc_BK_Merge_Station_Surround_01_A,Modern Brick
4m High
Modern Set
BuildingPartDesc_BK_Merge_Station_Surround_01_C,Modern Brick
4.0m High
Western Set
BuildingPartDesc_BK_Merge_Station_Surround_02_A,Modern Brick
2m High
Modern Set
BuildingPartDesc_BK_Merge_Station_Surround_02_C,Modern Brick
4.0m High
Western Set
BuildingPartDesc_BK_Merge_Station_Surround_B_01,Rough Brick
4m High
Rustic Set
BuildingPartDesc_BK_Merge_Station_Surround_B_02,Rough Brick
4m High
Rustic Set
BuildingPartDesc_BK_Merge_Wall_A_1m,Modern Brick
1m High
Modern Set
BuildingPartDesc_BK_Merge_Wall_A_2m,Modern Brick
2m High
Modern Set
BuildingPartDesc_BK_Merge_Wall_A_4m,Modern Brick
4m High
Modern Set
BuildingPartDesc_BK_Merge_Wall_B_1m,Rough Brick
1m High
Modern Set
BuildingPartDesc_BK_Merge_Wall_B_2m,Rough Brick
2m High
Castle Set
BuildingPartDesc_BK_Merge_Wall_B_4m,Rough Brick
4m High
Castle Set
BuildingPartDesc_BK_Merge_Wall_C_1m,Modern Brick
1.0m High
Western Set
BuildingPartDesc_BK_Merge_Wall_C_2m,Modern Brick
2.0m High
Western Set
BuildingPartDesc_BK_Merge_Wall_C_4m,Modern Brick
4.0m High
Western Set
BuildingPartDesc_BK_Merge_Wall_RoofAngle_45,Modern Brick
4m High
Modern Set
BuildingPartDesc_BK_Merge_Wall_RoofCurve_01,Modern Brick
2m High
Modern Set
